Source,Publisher,Year
J Cell Biol,jcb.rupress.org,2002
Journal of,jem.rupress.org,2001
Circulation research,Am Heart Assoc,1992
Annual review of pharmacology,annualreviews.org,1994
Circulation,Am Heart Assoc,1990
Circulation,Am Heart Assoc,1990
Blood,Am Soc Hematology,1998
Blood,Am Soc Hematology,2006
and cellular biology,Am Soc Microbiol,2007
The journal of,Am Assoc Immnol,2005
Journal of the,onlinejacc.org,1993
Circulation,Am Heart Assoc,2012
Ultrasound in medicine,Elsevier,2015
Stroke,Am Heart Assoc,2006
American Journal of,physiology.org,1994
American Journal of,physiology.org,1999
and vascular biology,Am Heart Assoc,2012
eLS,Wiley Online Library,2010
thrombosis and vascular,Am Heart Assoc,2004
Infection and,Am Soc Microbiol,2011
Journal of Surgical,Elsevier,1999
IEEE transactions on,ieeexplore.ieee.org,2013
Journal of leukocyte,Wiley Online Library,2009
The American journal of,Elsevier,2009
,books.google.com,2013
Seldin and Giebisch s The Kidney,Elsevier,2013
Journal of vascular,Elsevier,2017
Molecular and cellular glycobiology,,2000
,books.google.com,2012
Brain research,Elsevier,1988
Risks Mechanisms and,Wiley Online Library,2015
2015 IEEE,ieeexplore.ieee.org,2015
The American journal of,Elsevier,2013
,Am Heart Assoc,2008
2014 IEEE,ieeexplore.ieee.org,2014
2017 IEEE,ieeexplore.ieee.org,2017
umbjournal org,,
IEEE transactions on,ieeexplore.ieee.org,2019
2016 IEEE,ieeexplore.ieee.org,2016
,fasebj.org,2012
,pdfs.semanticscholar.org,1990
Journal of the American,Elsevier,1991
,fasebj.org,2008
,fasebj.org,2012
,fasebj.org,2011
2017 39th Annual,ieeexplore.ieee.org,2017
,fasebj.org,2010
eLS,Wiley Online Library,2001
,fasebj.org,2011
,fasebj.org,2010
Journal of Molecular and,jmmc-online.com,1991
2018 IEEE,ieeexplore.ieee.org,2018
,fasebj.org,2013
,fasebj.org,2012
,Citeseer,2006
,,
,LIPPINCOTT WILLIAMS & WILKINS …,2008
,fasebj.org,2009
Science,,1995
Science,,1997
Circulation research,,2000
Proceedings of the National Academy of Sciences,,2007
Biochemical Journal,,1996
Molecular and cellular biology,,1996
The FASEB Journal,,2000
The Journal of clinical investigation,,2003
Biochemical pharmacology,,1998
The FASEB journal,,2001
American Journal of Physiology Cell Physiology 276 4 C838 C,,1999
Circulation research,,2007
The Journal of clinical investigation,,1998
The FASEB Journal,,2000
The Journal of clinical investigation,,1998
Nucleic acids research,,2009
Cell death and differentiation,,2002
Molecular cancer therapeutics,,2005
Hypertension,,2003
Journal of Biological Chemistry,,1999
The FASEB Journal,,2005
Cell death and differentiation,,2003
Journal of Biological chemistry,,2000
Journal of Biological Chemistry,,1996
Journal of Biological Chemistry,,2000
The FASEB Journal,,2002
Antioxidants redox signaling,,1999
Circulation research,,2004
Cardiovascular research,,2011
Journal of Biological Chemistry,,2002
J Cell Biol,,2006
Arteriosclerosis thrombosis and vascular biology,,2014
Molecular biology of the cell,,2006
Journal of hepatology,,2004
Biochemical Journal,,1997
Circulation research,,2008
Blood,,2005
PLoS One,,2011
Journal of Biological Chemistry,,1998
Arteriosclerosis thrombosis and vascular biology,,2005
Arteriosclerosis thrombosis and vascular biology,,2013
Biochemical Journal,,2002
Arteriosclerosis thrombosis and vascular biology 23 1 e1,,2003
Journal of molecular and cellular cardiology,,2005
IUBMB Life,,1998
Circulation research,,2009
Circulation research,,2007
Circulation research,,2003
Circulation research,,2010
J Cell Biol,,2005
Current biology,,1997
Journal of Biological Chemistry,,2001
Arteriosclerosis thrombosis and vascular biology,,1998
American Journal of Physiology Cell Physiology 283 1 C93 C,,2002
Journal of hepatology,,2008
Cardiovascular research,,2006
Arteriosclerosis thrombosis and vascular biology,,2011
American Journal of Physiology Heart and Circulatory Physiology 303,,2012
Nature communications,,2016
Laboratory investigation,,2010
Human molecular genetics,,2010
Proceedings of the National Academy of Sciences,,2017
The FASEB Journal,,2009
American Journal of Transplantation,,2004
Cardiovascular research,,2011
Biochemical and biophysical research communications,,1994
Arteriosclerosis thrombosis and vascular biology,,2014
Circulation research,,2005
Molecular genetics and metabolism,,1998
PLoS One,,2013
Biochemical and biophysical research communications,,2013
Human experimental toxicology,,2002
Chinese medical journal,,2004
Cancer research and treatment official journal of Korean Cancer Association,,2015
Antioxidants redox signaling,,2009
Arteriosclerosis thrombosis and vascular biology,,2016
Biochemical and biophysical research communications,,2013
Proceedings of the National Academy of Sciences,,2006
Arteriosclerosis thrombosis and vascular biology,,2016
Biochimica et Biophysica Acta BBA Molecular Cell Research,,2012
Circulation research,,2001
Nature medicine,,2017
Cardiovascular research,,2017
Free Radical Biology and Medicine,,2016
Cardiovascular research,,2013
Biochemical and biophysical research communications,,2014
Cardiovascular research,,2014
PloS one,,2014
Cell death and differentiation,,2007
Transplantation proceedings 33 1 2,,2001
Scientific reports,,2017
Transplantation proceedings,,2002
Scientific reports,,2017
Clinical cardiology,,1999
The Journal of clinical investigation,,2018
PloS one,,2017
Free radical research,,2011
Circulation,,2011
Methods in enzymology,,2004
Journal of Allergy and Clinical Immunology 140 3 809 821,,2017
Antioxidants redox signaling,,2017
Biochem J,,2002
Cancer Research 65 9 Supplement,,2005
BELLE NEWSLETTER,,2002
Circulation,,1996
Biochemical and biophysical research communications,,2018
PloS one,,2018
US Patent App 14,,2015
Journal of cellular biochemistry,,2003
Circulation,,1999
Journal of the American College of Cardiology 2 27 385A,,1996
Cell Calcium,,2019
CIRCULATION RESEARCH 123 12 E77,,2018
Circulation 138 Suppl_1 A16296 A,,2018
Circulation 138 Suppl_1,,2018
Channels,,2017
Scientific reports,,2017
The FASEB Journal 31 1_supplement 689 3 689,,2017
The FASEB Journal 31 1_supplement 1079 9 1079,,2017
US Patent App 14,,2016
Circulation 130 suppl_2 A14050 A,,2014
Circulation 130 suppl_2 A14746 A,,2014
Circulation 130 suppl_2 A19788 A,,2014
Circulation 130 Suppl_2,,2014
Cardiology,,2014
Circulation 128 suppl_22 A18586 A,,2013
Circulation 126 suppl_21 A19390 A,,2012
Arteriosclerosis Thrombosis and Vascular Biology 32 suppl_1 A470 A,,2012
Free Radical Biology and Medicine 51 S,,2011
Hepatology 54 4 686A 687A,,2011
Free Radical Biology and Medicine 49 S,,2010
Pigment Cell Melanoma Research,,2009
Free Radical Biology and Medicine 47 S,,2009
The Japan Radiation Research Society Annual Meeting Abstracts The 52nd,,2009
FREE RADICAL BIOLOGY AND MEDICINE 47 S96 S,,2009
US Patent App 12,,2008
Mol Cancer Ther,,2008
HEPATOLOGY 46 4 536A 537A,,2007
Circ Res,,2007
Circulation 114 suppl_18 II_155 II_,,2006
Pigment Cell Research,,2006
The Journal of Cell Biology,,2006
The Journal of Cell Biology,,2006
Free Radical Biology and Medicine 39 S167 S,,2005
Pigment Cell Research,,2005
CIRCULATION,,2004
Transplantation,,2004
순환기질환의공학회 학술대회논문집,,2003
Arteriosclerosis Thrombosis and Vascular Biology,,2003
Journal of Biological Chemistry,,2002
CIRCULATION,,2001
Journal of Biological Chemistry,,2001
CIRCULATION,,2000
CIRCULATION,,2000
Transplantation 69 8 S,,2000
Journal of Biological Chemistry,,2000
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY 35 2 549A 549A,,2000
Journal of Biological Chemistry,,2000
CIRCULATION,,1999
BIOPHYSICAL JOURNAL 74 2 A24 A,,1998
Journal of Vascular and Interventional Radiology,,1998
Journal of the American College of Cardiology 31 2SA 357A 357A,,1998
MOLECULAR BIOLOGY OF THE CELL,,1996
MOLECULAR BIOLOGY OF THE CELL,,1996
CIRCULATION,,1996
CIRCULATION,,1996
CIRCULATION,,1996
Journal of the American College of Cardiology 2 27 18A,,1996
Trends in Cell Biology,,1996
JOURNAL OF CELLULAR BIOCHEMISTRY,,1995
CIRCULATION,,1993
CIRCULATION,,1993
,,
Nature medicine,nature.com,2006
Nature medicine,nature.com,2003
Development,dev.biologists.org,2010
Nature,nature.com,2009
PLoS,journals.plos.org,2006
Proceedings of the,National Acad Sciences,2009
,science.sciencemag.org,2012
J Cell Sci,jcs.biologists.org,2012
Annual review of cell and,annualreviews.org,2013
Nature,nature.com,2014
Nature,nature.com,2014
The Journal of,Am Soc Clin Investig,2012
Journal of Biological,ASBMB,2007
Nature medicine,nature.com,2014
Cancer letters,Elsevier,2002
Journal of Biological,ASBMB,2005
Developmental cell,Elsevier,2011
Journal of clinical anesthesia,Elsevier,2002
The FASEB,fasebj.org,2007
Proceedings of the,National Acad Sciences,2013
Journal of Biological,ASBMB,2004
Sci Signal,stke.sciencemag.org,2012
Nature biomedical,nature.com,2017
Current opinion in,journals.lww.com,2008
Nano,ACS Publications,2012
The American journal of,Elsevier,2013
Nature,nature.com,2013
Microvascular research,Elsevier,2013
The Journal of,anesthesiology.pubs.asahq.org,1995
Journal of cellular,Wiley Online Library,2002
The Journal of,anesthesiology.pubs.asahq.org,1995
Journal of clinical,Elsevier,1998
Journal of clinical,Elsevier,2002
Clinical,Wiley Online Library,2018
The Journal of,anesthesiology.pubs.asahq.org,1995
Journal of,jem.rupress.org,2018
The Journal of,Am Soc Clin Investig,2014
Canadian Journal of,Springer,2000
Biomaterials,Elsevier,2015
British journal of,Wiley Online Library,1996
J Cell Sci,jcs.biologists.org,2014
American journal of,atsjournals.org,2013
Integrative,academic.oup.com,2013
Clinical experimental,Springer,1999
Cancer letters,Elsevier,2002
PLoS,journals.plos.org,2013
PloS one,journals.plos.org,2012
et Biophysica Acta BBA,Elsevier,2000
The Journal of,anesthesiology.pubs.asahq.org,1997
British journal of,Wiley Online Library,1997
Journal of,Wiley Online Library,1997
Anticancer,europepmc.org,2002
Advanced,Wiley Online Library,2014
American journal of,atsjournals.org,2015
Biomaterials,Elsevier,2017
American journal of,atsjournals.org,2016
American journal of,atsjournals.org,2018
American journal of,Am Vet Med Assoc,2001
Journal of clinical anesthesia,Elsevier,2001
Cell death,nature.com,2018
Engineering Part C,liebertpub.com,2016
Anesthesia,journals.lww.com,2000
American journal of,atsjournals.org,2016
JoVE Journal of Visualized Experiments,jove.com,2014
Canadian Journal of,Springer,2001
Methods in enzymology,Elsevier,2008
Canadian Journal of,Springer,1999
US Patent App,Google Patents,2009
Canadian journal of,Springer,1992
Developmental,Wiley Online Library,2015
Anesthesia and,europepmc.org,1993
Journal of,europepmc.org,1995
cell biology and tissue engineering in,Elsevier,2015
Microvascular,Elsevier,2018
Shear Activated Nano therapeutics,,
Masui The Japanese,europepmc.org,2003
Journal of clinical,Elsevier,2003
Stem cell,Elsevier,2017
The FASEB Journal,fasebj.org,2016
The FASEB Journal,fasebj.org,2017
American journal of,atsjournals.org,2019
The FASEB Journal,fasebj.org,2015
Masui The Japanese,europepmc.org,2000
Masui The Japanese,europepmc.org,2003
Adv Biomed Eng,researchgate.net,2016
Masui The Japanese,europepmc.org,2002
Masui The Japanese,europepmc.org,2001
Masui The Japanese,europepmc.org,2004
,fasebj.org,2008
Masui The Japanese,europepmc.org,2003
한국생물공학회 학술,dbpia.co.kr,2015
The FASEB Journal,fasebj.org,2019
US Patent,Google Patents,2018
Masui The Japanese,europepmc.org,2001
Pharmacologia,orgz,1990
Masui The Japanese,europepmc.org,2001
The FASEB Journal,fasebj.org,2016
The FASEB Journal,fasebj.org,2015
Aging Albany NY,ncbi.nlm.nih.gov,2019
The FASEB Journal,fasebj.org,2019
pdfs semanticscholar org,,
Science translational,stm.sciencemag.org,2019
The FASEB Journal,fasebj.org,2019
US Patent App,Google Patents,2018
Journal of cardiothoracic and,jcvaonline.com,2001
Masui The Japanese,europepmc.org,2003
,,
American Journal of Respiratory,search.proquest.com,2015
THE JOURNAL OF,jstage.jst.go.jp,1998
Proceedings of the,National Acad Sciences,2009
PloS one,journals.plos.org,2010
Cell,Elsevier,2009
Molecular biology of,Am Soc Cell Biol,2006
Neuron,Elsevier,2014
Nature,nature.com,2010
Neuron,Elsevier,2005
Current pharmaceutical,ingentaconnect.com,2012
Neuron,Elsevier,2009
Stem cells,hindawi.com,2013
Acta,Springer,2018
Cell reports,Elsevier,2017
The Journal of,Am Soc Clin Investig,2016
Journal of Child and,liebertpub.com,2017
Marine biotechnology,Springer,2003
Transgenic research,Springer,1999
Proceedings of the,National Acad Sciences,2017
Vascular Cell,vascularcell.biomedcentral.com,2014
Future neurology,Future Medicine,2016
Journal of the,Am Heart Assoc,2016
Cell reports,Elsevier,2017
Journal of,jneuroinflammation.biomedcentral …,2016
Neural development,neuraldevelopment.biomedcentral …,2009
Frontiers in immunology,frontiersin.org,2017
Neuron,Elsevier,2015
Regenerative medicine,Future Medicine,2014
Neuron,Elsevier,2017
Frontiers in,frontiersin.org,2016
US Patent App 12 927 200,Google Patents,2011
Cell,Elsevier,2019
Acta Neuropathol,Springer,2015
NEUROPSYCHOPHARMACOLOGY,"… , 4 CRINAN ST, LONDON N1 9XW …",2016
,,
PLoS,journals.plos.org,2019
MULTIPLE,"… LTD 1 OLIVERS YARD, 55 CITY …",2017
Acta Neuropathol,Springer,2017
Omics Data A New,dspace.mit.edu,2018
,NATL ACAD SCIENCES 2101 …,2009
Int J Mol Sci,mdpi.com,2015
2017 IEEE,ieeexplore.ieee.org,2017
Frontiers in,frontiersin.org,2019
Cerebrovascular,karger.com,2018
,elibrary.ru,2003
,… VAN GODEWIJCKSTRAAT 30 …,2014
Acta Neuropathol,Springer,2016
Acta,Springer,2018
PNAS,europepmc.org,2016
,cell.com,2018
Marine,ci.nii.ac.jp,2003
The Journal of clinical,Am Soc Clin Investig,2003
Journal of leukocyte biology,Wiley Online Library,2007
The Journal of,Am Soc Clin Investig,2000
The Journal of,Am Assoc Immnol,1975
The FASEB,fasebj.org,2004
Biochemical and,Elsevier,1988
The Journal of clinical,Am Soc Clin Investig,1997
Nature,nature.com,1993
The FASEB,fasebj.org,2005
The Journal of,Am Soc Clin Investig,2002
Journal of experimental,jem.rupress.org,1965
The Journal of clinical investigation,Am Soc Clin Investig,2016
Journal of Surgical,Elsevier,1995
Proceedings of the,National Acad Sciences,1991
Journal of Biological,ASBMB,1990
The Journal of,Am Soc Clin Investig,1991
PloS one,journals.plos.org,2009
Free Radical Biology and Medicine,Elsevier,1988
The Journal of,Am Soc Clin Investig,1996
The Journal of pathology,Wiley Online Library,2000
Annals of,ncbi.nlm.nih.gov,1989
The American journal of,ncbi.nlm.nih.gov,1997
The FASEB,fasebj.org,2003
Journal of Experimental Medicine,jem.rupress.org,1965
Shock,journals.lww.com,2005
The Journal of clinical investigation,Am Soc Clin Investig,1974
Shock,journals.lww.com,2005
Nature medicine,nature.com,2006
Annals of the New York Academy of Sciences,Wiley Online Library,2010
The Annals of thoracic,Elsevier,1995
The Journal of,Am Soc Clin Investig,1989
The FASEB,fasebj.org,2008
,books.google.com,2010
The Journal of,Am Assoc Immnol,1996
American Review of,atsjournals.org,1984
The Journal of clinical investigation,Am Soc Clin Investig,1973
American journal of,atsjournals.org,1995
The Journal of,Am Assoc Immnol,1975
The Journal of,Am Assoc Immnol,1997
The FASEB,fasebj.org,2008
Shock,journals.lww.com,2004
Immunological reviews,Wiley Online Library,2016
The FASEB,fasebj.org,2012
The American journal of pathology,ncbi.nlm.nih.gov,1982
Annals of,ncbi.nlm.nih.gov,1988
Annals of the New York Academy of Sciences,Wiley Online Library,1996
The Journal of,Am Assoc Immnol,1997
